country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Finland,h1ber,NOVO Esports,NOVO,5,Flash,Breach,Sova,KAY/O,11,155,178,86,0.87,1.35,181,14,16.1,7.8,Finnish,Swedish,NaN
Slovenia,Grmekista,Diamant Esports,DIA,7,Lurker,Astra,Deadlock,Killjoy,5,67,79,38,0.84,1.32,175,13.4,15.8,7.6,Slovenian,NaN,NaN
Turkey,lurzy0y0,Galakticos,GAL,4,Anchor,Cypher,Breach,Killjoy,8,102,111,41,0.91,1.28,174,12.7,13.8,5.1,Turkish,NaN,NaN
Belarus,zeddy,KPI Gaming,KPI,2,Smoker,Omen,Gekko,Brimstone,10,120,145,81,0.82,1.38,172,12,14.5,8.1,Russian,Belarusian,NaN
Czechia,Sacake,Valiant,VLNT,3,Recon,Sova,Gekko,Fade,12,142,182,85,0.78,1.24,168,11.8,15.1,7,Czech,NaN,NaN
Russia,sickrey,R8 Esports,R8,7,Recon,Sova,Skye,Gekko,5,58,79,33,0.73,1.15,166,11.6,15.8,6.6,Russian,NaN,NaN
Portugal,Akira,PPP,PPP,7,Recon,Sova,Viper,NaN,5,61,82,21,0.74,1,163,12.2,16.4,4.2,Portuguese,Mirandese,NaN
Ireland,Famzzam,SweetNSour,SNS,6,Recon,Gekko,Sova,Fade,10,135,154,57,0.87,1.24,162,13.5,15.4,5.7,English,NaN,NaN
Germany,BennY,CGN Esports,CGN,1,Entry,Phoenix,Gekko,NaN,10,117,125,48,0.93,1.32,156,11.7,12.5,4.8,German,NaN,NaN
Ukraine,Kiles,KPI Gaming,KPI,2,Recon,Fade,Breach,Viper,10,117,127,80,0.92,1.55,155,11.7,12.7,8,Ukrainian,NaN,NaN
Italy,HearthBeat,SweetNSour,SNS,6,Smoker,Omen,Viper,Brimstone,10,119,159,93,0.74,1.33,152,11.9,15.9,9.3,Italian,NaN,NaN
Portugal,Phatt,PPP,PPP,7,Flash,KAY/O,Deadlock,Breach,5,57,77,40,0.74,1.25,147,11.4,15.4,8,Portuguese,Mirandese,NaN
Russia,moner,R8 Esports,R8,7,Anchor,Killjoy,Cypher,NaN,5,53,83,11,0.63,0.77,147,10.6,16.6,2.2,Russian,NaN,NaN
