country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Philippines,South East Asia,Filipino,English,,hanuh,Anchor,False,2nd,Sisu,SISU,Killjoy,,,1,10,12,3,0.83,1.08,164,10.0,12.0,3.0
Thailand,South East Asia,Thai,,,izze,Anchor,False,5th-6th,Invincible gc,INVI,Killjoy,Gekko,Cypher,7,86,112,34,0.76,1.07,166,12.2,16.0,4.8
Australia,Oceania,English,,,jaydiebabie,Anchor,False,4th,Vixens (Australian team),VIX,Cypher,Viper,Killjoy,12,172,160,61,1.07,1.45,210,14.3,13.3,5.0
Australia,Oceania,English,,,joom,Support,False,7th-8th,Blossom (Australian team),BLSM,Gekko,Skye,Fade,6,88,96,34,0.91,1.27,189,14.6,16.0,5.6
International,South Asia,English,,,junebug,Anchor,False,3rd-4th,Gang Gang,GANG,Killjoy,Cypher,,2,26,30,6,0.86,1.06,194,13.0,15.0,3.0
Indonesia,South East Asia,Indonesian,,,kalliqt,Anchor,False,9th-12th,BIGG Siren,BIGG.S,Killjoy,,,3,30,43,10,0.69,0.93,141,10.0,14.3,3.3
Singapore,South East Asia,Mandarin,English,Malay,kikowo,Flex,False,5th-6th,Cardboard Dinosaur,CBD,Raze,Breach,Clove,14,219,237,97,0.92,1.33,210,15.6,16.9,6.9
Thailand,South East Asia,Thai,,,kitkatwc,Support,False,5th-6th,Invincible gc,INVI,KAY/O,Skye,Viper,7,125,116,66,1.07,1.64,228,17.8,16.5,9.4
Thailand,South East Asia,Thai,,,klangngaiz,Entry,False,13th-16th,FULL SENSE Pink,FS,Jett,Raze,,5,91,74,16,1.22,1.44,224,18.2,14.8,3.2
Japan,Japan,Japanese,,,koyori,Support,False,4th,Cyber Geek,CYG,Breach,Gekko,Fade,9,104,142,90,0.73,1.36,163,11.5,15.7,10.0
Japan,Japan,Japanese,,,krenn,Flex,False,5th-6th,SCARZ GC,SZ,Viper,Killjoy,,7,107,105,24,1.01,1.24,190,15.2,15.0,3.4
International,South Asia,English,,,krys,Smoker,False,3rd-4th,Gang Gang,GANG,Omen,Clove,,2,19,28,4,0.67,0.82,143,9.5,14.0,2.0
Australia,Oceania,English,,,kypsi,Flex,False,7th-8th,Blossom (Australian team),BLSM,Harbor,Breach,,6,79,94,45,0.84,1.31,180,13.1,15.6,7.5
Australia,Oceania,English,,,legacy,Entry,False,4th,Vixens (Australian team),VIX,Raze,Jett,,12,179,173,51,1.03,1.32,220,14.9,14.4,4.2
Australia,Oceania,English,,,lielahh,Flex,False,7th-8th,Polar bear,BEAR,Breach,Cypher,,3,39,55,21,0.7,1.09,176,13.0,18.3,7.0
Taiwan,South Asia,Mandarin,,,lunah,Support,False,1st,Purr-Fectionists,PURR,Sova,Skye,Fade,5,86,63,33,1.36,1.88,232,17.2,12.6,6.6
New Zealand,Oceania,English,Maori,,mai,Anchor,False,5th-6th,Evergarden GC,EV,Cypher,Killjoy,,8,122,105,19,1.16,1.34,205,15.2,13.1,2.3
Australia,Oceania,English,,,me1ody,Support,False,7th-8th,Polar bear,BEAR,Sova,Gekko,,4,38,62,19,0.61,0.91,144,9.5,15.5,4.7
Indonesia,South East Asia,Indonesian,,,metawiN,Support,False,9th-12th,BIGG Siren,BIGG.S,Gekko,Skye,KAY/O,6,88,83,29,1.06,1.4,147,14.6,13.8,4.8
South Korea,Japan,Japanese,Korean,,miNt,Entry,False,2nd,FENNEL Female,FL,Raze,Jett,,16,339,241,55,1.4,1.63,287,21.1,15.0,3.4
New Zealand,Oceania,English,Maori,,mini,Smoker,False,7th-8th,Blossom (Australian team),BLSM,Clove,Omen,,6,85,112,38,0.75,1.09,186,14.1,18.6,6.3
Japan,Japan,Japanese,,,miya,Support,False,5th-6th,SCARZ GC,SZ,Fade,Sova,,7,88,110,47,0.8,1.22,163,12.5,15.7,6.7
Thailand,South East Asia,Thai,,,mmoopingx,Flex,False,13th-16th,FULL SENSE Pink,FS,Viper,Sova,,5,64,77,33,0.83,1.25,167,12.8,15.4,6.6
Australia,Oceania,English,,,molly,Support,False,5th-6th,Scissor Sisters,SNIP,Sova,Skye,Breach,6,66,84,29,0.78,1.13,184,11.0,14.0,4.8
India,South Asia,Hindi,English,,muffinloop,Support,False,2nd,9to5 workers,N2F,Sova,Skye,,5,96,79,37,1.21,1.68,250,19.2,15.8,7.4
Japan,Japan,Japanese,,,nekop4nchan,Smoker,False,7th-8th,Meteor GC,MTR,Omen,Viper,Astra,5,69,71,40,0.97,1.53,181,13.8,14.2,8.0
Thailand,South East Asia,Thai,,,nenuay,Smoker,False,13th-16th,FULL SENSE Pink,FS,Omen,Clove,,5,54,78,48,0.69,1.3,121,10.8,15.6,9.6
Singapore,South East Asia,Mandarin,English,Malay,olulu,Support,False,13th-16th,Watermelon,,Breach,Reyna,Skye,6,80,88,30,0.9,1.25,205,13.3,14.6,5.0
Japan,Japan,Japanese,,,onni,Entry,False,4th,Cyber Geek,CYG,Brimstone,Neon,Jett,9,157,143,57,1.09,1.49,240,17.4,15.8,6.3
Thailand,South East Asia,Thai,,,pannyx,Support,False,9th-12th,Panny Sitter,PS,Gekko,Sova,Reyna,6,93,84,27,1.1,1.42,220,15.5,14.0,4.5
Singapore,South East Asia,Mandarin,English,Malay,pigruto,Anchor,False,5th-6th,Cardboard Dinosaur,CBD,Cypher,Killjoy,Omen,9,95,147,43,0.64,0.93,140,10.5,16.3,4.7
South Korea,South Korea,Korean,,,ran,Support,False,3rd,Nuclear GC,NC,Sova,Skye,Gekko,4,37,52,22,0.71,1.13,145,9.2,13.0,5.5
Albania,Oceania,English,Albanian,,reach,Entry,False,7th-8th,Polar bear,BEAR,Phoenix,Neon,Jett,4,61,64,16,0.95,1.2,234,15.2,16.0,4.0
Japan,Japan,Japanese,,,romia,Anchor,False,2nd,FENNEL Female,FL,Cypher,Killjoy,Sova,16,242,218,59,1.11,1.38,198,15.1,13.6,3.6
Thailand,South East Asia,Thai,,,rosey,Smoker,False,5th-6th,Invincible gc,INVI,Omen,,,7,98,109,56,0.89,1.41,172,14.0,15.5,8.0
Philippines,South East Asia,Filipino,English,,sachi,Entry,False,13th-16th,BAS.Kitsune,BAS.K,Jett,Reyna,,6,82,96,14,0.85,1.0,220,13.6,16.0,2.3
Philippines,South East Asia,Filipino,English,,shina,Anchor,False,4th,4Fun (Filipino team),4F,Killjoy,Cypher,Chamber,15,239,196,43,1.21,1.43,221,15.9,13.0,2.8
Philippines,South East Asia,Filipino,English,,shirah0sh1,Anchor,False,7th-8th,Avernus Esports GC,AVN,Reyna,Killjoy,Cypher,11,137,178,42,0.76,1.0,178,12.4,16.1,3.8
Japan,Japan,Japanese,,,shiye,Anchor,False,7th-8th,Meteor GC,MTR,Sova,Killjoy,Deadlock,5,66,79,33,0.83,1.25,178,13.2,15.8,6.6
Macau,Oceania,Country not mapped,Country not mapped,Country not mapped,silv,Smoker,False,2nd,Penguin Party,PIP,Omen,Brimstone,Viper,15,185,192,91,0.96,1.43,178,12.3,12.8,6.0
Indonesia,South Asia,Indonesian,,,skyelyse,Anchor,False,2nd,9to5 workers,N2F,Cypher,Killjoy,,5,52,88,29,0.59,0.92,140,10.4,17.6,5.8
Australia,Oceania,English,,,soko,Entry,False,2nd,Penguin Party,PIP,Raze,Jett,Reyna,15,226,203,58,1.11,1.39,234,15.0,13.5,3.8
Japan,Japan,Japanese,,,suzu,Entry,False,1st,ZETA DIVISION GC,ZETA,Raze,Jett,Omen,11,208,163,56,1.27,1.61,263,18.9,14.8,5.0
Philippines,South East Asia,Filipino,English,,syd89,Smoker,False,7th-8th,Avernus Esports GC,AVN,Omen,Brimstone,Killjoy,11,125,167,89,0.74,1.28,164,11.3,15.1,8.0
Australia,Oceania,English,,,tiff,Support,False,2nd,Penguin Party,PIP,Fade,Sova,Gekko,15,233,184,87,1.26,1.73,240,15.5,12.2,5.8
Singapore,South East Asia,Mandarin,English,Malay,toffywoffy,Support,False,13th-16th,Watermelon,,Fade,Sova,Deadlock,6,56,87,44,0.64,1.14,169,9.3,14.5,7.3
Malaysia,South East Asia,Malay,,,tub,Support,False,9th-12th,RIMA GC,RIMA,Gekko,Sova,Omen,9,132,133,55,0.99,1.4,207,14.6,14.7,6.1
International,South Asia,English,,,ven,Support,False,3rd-4th,Gang Gang,GANG,Breach,,,1,12,17,7,0.7,1.11,162,12.0,17.0,7.0
Australia,Oceania,English,,,xyro,Entry,False,5th-6th,Evergarden GC,EV,Yoru,Raze,Phoenix,8,151,125,46,1.2,1.57,265,18.8,15.6,5.7
Indonesia,South East Asia,Indonesian,,,yaamorii,Flex,False,9th-12th,BIGG Siren,BIGG.S,Killjoy,Sova,Omen,4,40,48,11,0.83,1.06,127,10.0,12.0,2.7
Japan,South East Asia,Japanese,,,yokonomiyaki,Smoker,False,13th-16th,BAS.Kitsune,BAS.K,Omen,Viper,Brimstone,6,72,103,27,0.69,0.96,186,12.0,17.1,4.5
Singapore,South East Asia,Mandarin,English,Malay,yuchan,Entry,False,13th-16th,Watermelon,,Raze,Jett,,6,88,92,23,0.95,1.2,226,14.6,15.3,3.8
Australia,Oceania,English,,,yumi,Support,False,2nd,Penguin Party,PIP,Gekko,Breach,Deadlock,15,202,199,93,1.01,1.48,201,13.4,13.2,6.2
Japan,Japan,Japanese,,,yunah,Smoker,False,5th-6th,SCARZ GC,SZ,Omen,Brimstone,,7,106,107,56,0.99,1.51,187,15.1,15.2,8.0
Thailand,South East Asia,Thai,,,yuri,Anchor,False,9th-12th,Panny Sitter,PS,Cypher,Killjoy,Viper,6,97,84,35,1.15,1.57,227,16.1,14.0,5.8
Japan,Japan,Japanese,,,yuzu,Support,False,5th-6th,SCARZ GC,SZ,Killjoy,Gekko,KAY/O,7,106,110,72,0.96,1.61,197,15.1,15.7,10.2
Philippines,South Asia,Filipino,English,,zini,Support,False,3rd-4th,Asmodeus Colosseum Esports,ACE,Sova,,,2,31,36,16,0.86,1.3,206,15.5,18.0,8.0
