country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Poland,adm1k,Incognito,INCO,9,Recon,Sova,Viper,Fade,18,232,292,113,0.79,1.18,180,12.8,16.2,6.2,Polish,NaN,NaN
Austria,litshii,NOM Esports,NOM,7,Anchor,Viper,Sage,Breach,23,325,366,179,0.88,1.37,179,14.1,15.9,7.7,German,NaN,NaN
Poland,qxv,ESC Gaming,ESC,10,Recon,Sova,Fade,Skye,22,315,362,134,0.87,1.24,177,14.3,16.4,6,Polish,NaN,NaN
Poland,Krizz,Zero Tenacity,Z10,8,Entry,Jett,Raze,Cypher,22,297,351,79,0.84,1.07,175,13.5,15.9,3.5,Polish,NaN,NaN
Poland,kenobi,Zero Tenacity,Z10,8,Lurker,Viper,Cypher,KAY/O,22,291,359,131,0.81,1.17,175,13.2,16.3,5.9,Polish,NaN,NaN
Hungary,bzt,Chipi Chapa's,CHCH,5,Recon,Sova,Breach,Fade,27,343,374,198,0.91,1.44,174,12.7,13.8,7.3,Hungarian,NaN,NaN
Serbia,Prti,Diamant Esports,DIA,2,Recon,Skye,Fade,Breach,39,480,551,293,0.87,1.4,170,12.3,14.1,7.5,Serbian,NaN,NaN
Poland,darkosek,Incognito,INCO,9,Smoker,Omen,Breach,Jett,21,270,356,113,0.75,1.07,170,12.8,16.9,5.3,Polish,NaN,NaN
Poland,Szalony,Incognito,INCO,9,Flex,Iso,Jett,NaN,3,33,48,10,0.68,0.89,170,11,16,3.3,Polish,NaN,NaN
Poland,nyczu,ESC Gaming,ESC,10,Anchor,Killjoy,Cypher,NaN,22,291,351,90,0.82,1.08,168,13.2,15.9,4,Polish,NaN,NaN
Israel,nero,NOM Esports,NOM,7,Recon,Sova,Fade,Skye,23,309,359,166,0.86,1.32,167,13.4,15.6,7.2,Hebrew,NaN,NaN
Ukraine,arch,B8 Esports,B8,6,Recon,Sova,Fade,Skye,27,320,429,157,0.74,1.11,158,11.8,15.8,5.8,Ukrainian,NaN,NaN
Ukraine,RARE,B8 Esports,B8,6,Anchor,Cypher,Omen,Deadlock,7,81,112,35,0.72,1.03,152,11.5,16,5,Ukrainian,NaN,NaN
Russia,ANXiOS,trashcan,TR,4,Recon,Skye,Omen,KAY/O,34,334,517,324,0.64,1.27,147,9.8,15.2,9.5,Russian,NaN,NaN
Israel,g I L,NOM Esports,NOM,7,Smoker,Omen,NaN,NaN,2,22,34,27,0.64,1.44,142,11,17,13.5,Hebrew,NaN,NaN
Finland,Vuubit,Acend,ACE,3,Recon,KAY/O,NaN,NaN,1,8,17,14,0.47,1.29,132,8,17,14,Finnish,Swedish,NaN
