Sub_Region,Region
China,China
Brazil,Americas
Latin America,Americas
North America,Americas
DACH,EMEA
East EMEA,EMEA
France,EMEA
GCC and Iraq,EMEA
Italy,EMEA
Levant and North Africa,EMEA
MENA,EMEA
North EMEA,EMEA
Portugal,EMEA
Spain,EMEA
Turkey,EMEA
Hong Kong and Taiwan,Pacific
Indonesia,Pacific
Japan,Pacific
Malaysia and Singapore,Pacific
Oceania,Pacific
Phillippines,Pacific
South Asia,Pacific
South Korea,Pacific
Thailand,Pacific
Vietnam,Pacific
