country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
China,LuSe4y,LanTu Gaming,LTG,13,Flash,Breach,Gekko,NaN,3,42,43,15,0.97,1.32,222,14,14.3,5,Mandarin,NaN,NaN
Taiwan,XII,Tpx,TPX,13,Entry,Jett,Neon,Raze,3,47,49,13,0.95,1.22,221,15.6,16.3,4.3,Mandarin,NaN,NaN
China,TianQiZhiZi,LaoTouLe,LTL,13,Recon,Skye,Viper,NaN,2,42,33,10,1.27,1.57,218,21,16.5,5,Mandarin,NaN,NaN
China,WuDiXiaoXueSheng,1one,ONE,9,Lurker,Yoru,Killjoy,KAY/O,4,66,65,25,1.01,1.4,214,16.5,16.2,6.2,Mandarin,NaN,NaN
China,yll,I May,IMAY,13,Flex,Reyna,Iso,NaN,2,27,30,10,0.9,1.23,211,13.5,15,5,Mandarin,NaN,NaN
China,babyblue,ZY Gaming,ZYG,5,Flex,Yoru,Neon,NaN,5,82,82,31,1,1.37,209,16.4,16.4,6.2,Mandarin,NaN,NaN
China,k1te,Kulin Esports,KE,3,Recon,Sova,Cypher,Skye,7,98,78,37,1.25,1.73,209,14,11.1,5.2,Mandarin,NaN,NaN
China,izyy,KeepBest Gaming,KBG,2,Smoker,Viper,Astra,NaN,7,98,99,41,0.98,1.4,208,14,14.1,5.8,Mandarin,NaN,NaN
China,huNter,Ambitious Legend Gaming,ALG,5,Smoker,Omen,Astra,NaN,8,122,111,68,1.09,1.71,208,15.2,13.8,8.5,Mandarin,NaN,NaN
China,WudiYuChEn,Qing Jiu Club,Q9,5,Flash,KAY/O,Breach,NaN,5,73,85,56,0.85,1.51,207,14.6,17,11.2,Mandarin,NaN,NaN
Taiwan,HanChe,Tpx,TPX,13,Anchor,Killjoy,Viper,Cypher,3,45,49,15,0.91,1.22,207,15,16.3,5,Mandarin,NaN,NaN
