country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Hong Kong,Hong Kong and Taiwan,Mandarin,Cantonese,English,Uta,Flex,FALSE,1st,Oblivion Force,OF,Jett,Cypher,Omen,29,519,377,144,1.37,1.75,240,17.8,13,4.9
Taiwan,Hong Kong and Taiwan,Mandarin,,,W1nner,Anchor,FALSE,2nd,ONE Team,ONE,Killjoy,Cypher,Sova,27,428,395,118,1.08,1.38,205,15.8,14.6,4.3
Taiwan,Hong Kong and Taiwan,Mandarin,,,Weber,Flex,FALSE,4th,Five Ace e-Sports,FA,Sova,Fade,KAY/O,12,150,180,90,0.83,1.33,173,12.5,15,7.5
Taiwan,Hong Kong and Taiwan,Mandarin,,,XiaoFeng,Entry,FALSE,5th-6th,ROA,ROA,Raze,Jett,Clove,18,263,331,83,0.79,1.04,204,14.6,18.3,4.6
Taiwan,Hong Kong and Taiwan,Mandarin,,,XyuS,Flex,FALSE,2nd,ONE Team,ONE,Raze,Jett,Neon,27,529,383,99,1.38,1.63,259,19.5,14.1,3.6
Taiwan,Hong Kong and Taiwan,Mandarin,,,YanLi,Support,FALSE,2nd,ONE Team,ONE,KAY/O,Viper,Breach,27,430,375,234,1.14,1.77,212,15.9,13.8,8.6
International,Hong Kong and Taiwan,Mandarin,English,,Youjun,Flex,FALSE,8th,Da Feng Gou,DFG,Sova,Fade,Breach,16,248,253,108,0.98,1.4,217,15.5,15.8,6.7
International,Hong Kong and Taiwan,Mandarin,English,,Youze,Entry,FALSE,8th,Da Feng Gou,DFG,Raze,Jett,KAY/O,16,247,255,93,0.96,1.33,207,15.4,15.9,5.8
Taiwan,Hong Kong and Taiwan,Mandarin,,,Yoyoman,Support,FALSE,7th,Hungkuang Falcon,HKUF,Gekko,Fade,Raze,15,212,241,106,0.87,1.31,180,14.1,16,7
Taiwan,Hong Kong and Taiwan,Mandarin,,,Zhannn,Flex,FALSE,5th-6th,ROA,ROA,Astra,Viper,Omen,18,307,270,132,1.13,1.62,216,17,15,7.3
Hong Kong,Hong Kong and Taiwan,Mandarin,Cantonese,English,coconut,Flex,FALSE,1st,Oblivion Force,OF,Cypher,Gekko,Viper,29,476,386,165,1.23,1.66,219,16.4,13.3,5.6
Mongolia,Hong Kong and Taiwan,Mandarin,Khalkha Mongol,,nex1,Smoker,FALSE,3rd,Team Kobolds,KBLD,Omen,KAY/O,Brimstone,29,472,447,265,1.05,1.64,204,16.2,15.4,9.1
Taiwan,Hong Kong and Taiwan,Mandarin,,,ngk,Flex,FALSE,2nd,ONE Team,ONE,Omen,Iso,Yoru,10,154,154,70,1,1.45,186,15.4,15.4,7
Taiwan,Hong Kong and Taiwan,Mandarin,,,rAb1q,Support,FALSE,4th,Five Ace e-Sports,FA,Sova,Omen,Breach,24,322,355,165,0.9,1.37,190,13.4,14.7,6.8
Hong Kong,Hong Kong and Taiwan,Mandarin,Cantonese,English,riyabtw,Entry,FALSE,1st,Oblivion Force,OF,Raze,Jett,,29,526,412,95,1.27,1.5,245,18.1,14.2,3.2
Taiwan,Hong Kong and Taiwan,Mandarin,,,roud,Smoker,FALSE,4th,Five Ace e-Sports,FA,Omen,Viper,Chamber,24,290,370,191,0.78,1.3,165,12,15.4,7.9
Taiwan,Hong Kong and Taiwan,Mandarin,,,yZkA1,Smoker,FALSE,5th-6th,ROA,ROA,Omen,Reyna,Brimstone,18,278,321,103,0.86,1.18,197,15.4,17.8,5.7
Indonesia,Indonesia,Indonesian,,,BerserX,Anchor,FALSE,1st,BOOM Esports,BME,Killjoy,Cypher,,28,395,338,152,1.16,1.61,194,14.1,12,5.4
Indonesia,Indonesia,Indonesian,,,BudimeisteR,Smoker,FALSE,4th,Bigetron Arctic,BTR,Omen,Viper,,22,317,327,167,0.96,1.48,196,14.4,14.8,7.5
Indonesia,Indonesia,Indonesian,,,Cud,Anchor,TRUE,2nd,Alter Ego,AE,Cypher,Viper,Killjoy,26,391,340,125,1.14,1.51,201,15,13,4.8
Indonesia,Indonesia,Indonesian,,,Eeyore,Anchor,FALSE,8th,Le Crapaud,LCR,Killjoy,Cypher,Omen,11,163,177,56,0.92,1.23,200,14.8,16,5
Indonesia,Indonesia,Indonesian,,,Flynch,Entry,FALSE,5th-6th,THE HERO DETA,THD,Jett,Raze,Skye,24,359,355,81,1.01,1.23,213,14.9,14.7,3.3
Indonesia,Indonesia,Indonesian,,,Iceyyy,Entry,FALSE,7th,DIS Esports,DIS,Raze,Jett,,7,110,110,20,1,1.18,221,15.7,15.7,2.8
Indonesia,Indonesia,Indonesian,,,Jefz,Entry,FALSE,5th-6th,Cynical,CNL,Raze,Jett,,20,296,309,87,0.95,1.23,220,14.8,15.4,4.3
Indonesia,Indonesia,Indonesian,,,Kneeke,Support,FALSE,5th-6th,Cynical,CNL,Fade,,,1,8,14,7,0.57,1.07,129,8,14,7
Indonesia,Indonesia,Indonesian,,,Kuroza,Smoker,FALSE,8th,Le Crapaud,LCR,Omen,Cypher,Viper,15,171,232,117,0.73,1.24,150,11.4,15.4,7.8
Indonesia,Indonesia,Indonesian,,,Kush,Flex,FALSE,2nd,Alter Ego,AE,Gekko,KAY/O,Skye,26,438,379,190,1.15,1.65,233,16.8,14.5,7.3
Indonesia,Indonesia,Indonesian,,,Kylee,Anchor,FALSE,3rd,ARF TEAM,ARF,Cypher,Killjoy,Viper,23,375,331,78,1.13,1.36,216,16.3,14.3,3.3
Indonesia,Indonesia,Indonesian,,,Lilo,Flex,FALSE,4th,Bigetron Arctic,BTR,Raze,Jett,Neon,22,348,370,81,0.94,1.15,221,15.8,16.8,3.6
Indonesia,Indonesia,Indonesian,,,Madelyn,Flex,FALSE,5th-6th,THE HERO DETA,THD,Sova,Gekko,Fade,24,321,310,166,1.03,1.57,185,13.3,12.9,6.9
Indonesia,Indonesia,Indonesian,,,Nay,Flex,FALSE,5th-6th,Cynical,CNL,Cypher,Sova,Viper,20,247,311,74,0.79,1.03,170,12.3,15.5,3.7
Indonesia,Indonesia,Indonesian,,,NcSlasher,Flex,FALSE,1st,BOOM Esports,BME,KAY/O,Fade,Gekko,28,365,383,288,0.95,1.7,184,13,13.6,10.2
Indonesia,Indonesia,Indonesian,,,No1syboy,Support,FALSE,5th-6th,THE HERO DETA,THD,Breach,Killjoy,KAY/O,24,318,354,151,0.89,1.32,183,13.2,14.7,6.2
Indonesia,Indonesia,Indonesian,,,Nythan,Flex,FALSE,3rd,ARF TEAM,ARF,Breach,Skye,Gekko,23,334,332,156,1,1.47,191,14.5,14.4,6.7
Indonesia,Indonesia,Indonesian,,,PadangRice,Smoker,FALSE,7th,DIS Esports,DIS,Viper,Killjoy,Omen,16,203,242,92,0.83,1.21,189,12.6,15.1,5.7
Indonesia,Indonesia,Indonesian,,,RIZKYMD,Flex,FALSE,8th,Le Crapaud,LCR,KAY/O,Breach,Skye,13,192,213,128,0.9,1.5,195,14.7,16.3,9.8
Indonesia,Indonesia,Indonesian,,,Rapheleen,Support,FALSE,8th,Le Crapaud,LCR,Sova,Raze,Gekko,15,220,251,96,0.87,1.25,201,14.6,16.7,6.4
Indonesia,Indonesia,Indonesian,,,SCar,Flex,FALSE,3rd,ARF TEAM,ARF,Omen,Viper,Brimstone,23,287,324,206,0.88,1.52,170,12.4,14,8.9
Indonesia,Indonesia,Indonesian,,,SEVERiNE,Flex,FALSE,4th,Bigetron Arctic,BTR,KAY/O,Breach,Fade,22,291,333,189,0.87,1.44,183,13.2,15.1,8.5
Indonesia,Indonesia,Indonesian,,,Shiro,Support,FALSE,1st,BOOM Esports,BME,Sova,Breach,Viper,28,486,358,271,1.35,2.11,235,17.3,12.7,9.6
Indonesia,Indonesia,Indonesian,,,ValdyN,Flex,FALSE,2nd,Alter Ego,AE,Breach,KAY/O,Sova,26,398,369,183,1.07,1.57,203,15.3,14.1,7
Singapore,Indonesia,Indonesian,Mandarin,English,ZesBeeW,Flex,FALSE,1st,BOOM Esports,BME,Omen,Viper,Brimstone,28,441,356,296,1.23,2.07,208,15.7,12.7,10.5
Indonesia,Indonesia,Indonesian,,,aderrr,Anchor,FALSE,7th,DIS Esports,DIS,Omen,Cypher,Killjoy,16,207,244,71,0.84,1.13,187,12.9,15.2,4.4
Indonesia,Indonesia,Indonesian,,,axeLuvYa,Flex,FALSE,8th,Le Crapaud,LCR,Killjoy,Breach,Omen,6,66,89,29,0.74,1.06,151,11,14.8,4.8
Indonesia,Indonesia,Indonesian,,,damaraa,Entry,FALSE,8th,Le Crapaud,LCR,Jett,Raze,,15,253,263,57,0.96,1.17,227,16.8,17.5,3.8
Indonesia,Indonesia,Indonesian,,,dragy,Smoker,FALSE,5th-6th,Cynical,CNL,Omen,Yoru,Viper,20,256,309,154,0.82,1.32,188,12.8,15.4,7.7
Indonesia,Indonesia,Indonesian,,,famouz,Entry,FALSE,1st,BOOM Esports,BME,Raze,Jett,,28,566,383,134,1.47,1.82,279,20.2,13.6,4.7
