country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Malaysia,Malaysia and Singapore,English,Malay,,Riza,Flex,FALSE,3rd,Elevate (American team),ELV,Cypher,Sova,Viper,26,410,372,128,1.1,1.44,205,15.7,14.3,4.9
Singapore,Malaysia and Singapore,English,Malay,Mandarin,SHINSEI,Entry,FALSE,5th-6th,Kizuna Esports,KZ,Jett,Cypher,Iso,18,375,320,49,1.17,1.32,254,20.8,17.7,2.7
Singapore,Malaysia and Singapore,English,Malay,Mandarin,STYRON,Flex,FALSE,1st,Disguised,DSG,Sova,Skye,Fade,24,337,293,183,1.15,1.77,184,14,12.2,7.6
Indonesia,Malaysia and Singapore,English,Malay,Indonesian,Splash,Flex,FALSE,5th-6th,NEXGA,NXGA,Jett,Raze,Iso,19,368,300,79,1.22,1.49,265,19.3,15.7,4.1
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Toy,Support,FALSE,8th,PDF,PDF,Skye,Omen,Gekko,16,235,242,101,0.97,1.38,190,14.6,15.1,6.3
Malaysia,Malaysia and Singapore,English,Malay,,Xan,Flex,FALSE,4th,LaZe,LZE,Raze,Jett,Neon,25,415,401,120,1.03,1.33,231,16.6,16,4.8
Malaysia,Malaysia and Singapore,English,Malay,,aduka,Flex,FALSE,5th-6th,NEXGA,NXGA,Sova,Iso,Cypher,19,303,273,113,1.1,1.52,216,15.9,14.3,5.9
Malaysia,Malaysia and Singapore,English,Malay,,aplycs,Flex,FALSE,5th-6th,NEXGA,NXGA,Omen,Viper,Brimstone,19,242,288,165,0.84,1.41,173,12.7,15.1,8.6
Singapore,Malaysia and Singapore,English,Malay,Mandarin,bryce,Flex,FALSE,7th,Ninjas in Galaxy,NG,Viper,Harbor,Omen,10,129,147,53,0.87,1.23,173,12.9,14.7,5.3
Singapore,Malaysia and Singapore,English,Malay,Mandarin,esmonde,Flex,FALSE,5th-6th,Kizuna Esports,KZ,Omen,Brimstone,Viper,18,227,278,168,0.81,1.42,160,12.6,15.4,9.3
Singapore,Malaysia and Singapore,English,Malay,Mandarin,grumble,Anchor,FALSE,1st,Disguised,DSG,Viper,Cypher,Killjoy,24,431,323,146,1.33,1.78,225,17.9,13.4,6
Singapore,Malaysia and Singapore,English,Malay,Mandarin,haeart,Flex,FALSE,8th,PDF,PDF,Raze,Neon,Jett,14,218,231,56,0.94,1.18,217,15.5,16.5,4
Singapore,Malaysia and Singapore,English,Malay,Mandarin,inf,Anchor,FALSE,7th,Ninjas in Galaxy,NG,Killjoy,Iso,Cypher,14,221,239,38,0.92,1.08,203,15.7,17,2.7
Malaysia,Malaysia and Singapore,English,Malay,,jans0n,Support,FALSE,2nd,Reve Drift Arena,RDA,Gekko,Cypher,Breach,32,457,521,254,0.87,1.36,175,14.2,16.2,7.9
Singapore,Malaysia and Singapore,English,Malay,Mandarin,joshh,Flex,FALSE,7th,Ninjas in Galaxy,NG,Omen,Brimstone,Viper,14,180,218,113,0.82,1.34,166,12.8,15.5,8
Singapore,Malaysia and Singapore,English,Malay,Mandarin,juicy,Entry,FALSE,1st,Disguised,DSG,Iso,Yoru,Raze,24,415,349,127,1.18,1.55,218,17.2,14.5,5.2
Malaysia,Malaysia and Singapore,English,Malay,,kayle,Flex,FALSE,5th-6th,Kizuna Esports,KZ,Killjoy,Viper,Breach,17,232,282,80,0.82,1.1,174,13.6,16.5,4.7
Singapore,Malaysia and Singapore,English,Malay,Mandarin,kestrel,Anchor,FALSE,8th,PDF,PDF,Killjoy,Cypher,Neon,5,66,93,16,0.7,0.88,154,13.2,18.6,3.2
Singapore,Malaysia and Singapore,English,Malay,Mandarin,lenne,Flex,FALSE,4th,LaZe,LZE,Sova,Fade,Gekko,25,401,352,188,1.13,1.67,229,16,14,7.5
Philippines,Malaysia and Singapore,English,Malay,Filipino,markL,Flex,FALSE,2nd,Reve Drift Arena,RDA,Viper,Cypher,Jett,32,523,523,160,1,1.3,196,16.3,16.3,5
Singapore,Malaysia and Singapore,English,Malay,Mandarin,miz,Flex,FALSE,8th,PDF,PDF,Omen,Cypher,Jett,16,202,255,93,0.79,1.15,171,12.6,15.9,5.8
Singapore,Malaysia and Singapore,English,Malay,Mandarin,persona11,Entry,FALSE,7th,Ninjas in Galaxy,NG,Raze,Jett,,14,214,236,47,0.9,1.1,203,15.2,16.8,3.3
Singapore,Malaysia and Singapore,English,Malay,Mandarin,pudj,Flex,FALSE,3rd,Elevate (American team),ELV,Killjoy,Viper,Fade,26,386,365,147,1.05,1.46,194,14.8,14,5.6
Singapore,Malaysia and Singapore,English,Malay,Mandarin,shiba,Flex,FALSE,7th,Ninjas in Galaxy,NG,Sova,Fade,Skye,14,187,220,94,0.85,1.27,179,13.3,15.7,6.7
Malaysia,Malaysia and Singapore,English,Malay,,subbey,Flex,FALSE,2nd,Reve Drift Arena,RDA,Sova,Skye,Breach,32,466,529,262,0.88,1.37,180,14.5,16.5,8.1
Singapore,Malaysia and Singapore,English,Malay,Mandarin,tempz,Flex,FALSE,4th,LaZe,LZE,Breach,Gekko,KAY/O,25,361,342,229,1.05,1.72,192,14.4,13.6,9.1
Malaysia,Malaysia and Singapore,English,Malay,,theDoctorr,Smoker,FALSE,2nd,Reve Drift Arena,RDA,Omen,Killjoy,Clove,32,561,525,293,1.06,1.62,215,17.5,16.4,9.1
Singapore,Malaysia and Singapore,English,Malay,Mandarin,vera,Flex,FALSE,1st,Disguised,DSG,Jett,Raze,Neon,23,421,349,106,1.2,1.51,246,18.3,15.1,4.6
Singapore,Malaysia and Singapore,English,Malay,Mandarin,wayne,Flex,FALSE,1st,Disguised,DSG,Omen,Killjoy,Reyna,24,400,325,189,1.23,1.81,216,16.6,13.5,7.8
Australia,Oceania,English,,,ACE,Entry,FALSE,12th-14th,Bandits ESC,BNDT,Jett,Raze,Deadlock,5,122,76,15,1.6,1.8,334,24.4,15.2,3
Australia,Oceania,English,,,AMNESTY,Support,FALSE,7th-8th,Rub n' Pug,RNP,Sova,Gekko,Deadlock,15,222,227,100,0.97,1.41,196,14.8,15.1,6.6
Cyprus,Oceania,English,Greek,Turkish,ANDY,Entry,FALSE,1st,JFT Esports,JFT,Iso,Jett,Deadlock,16,280,212,97,1.32,1.77,243,17.5,13.2,6
International,Oceania,English,,,AcZy,Smoker,FALSE,12th-14th,Wolf Pack,WP,Clove,Reyna,Viper,4,63,74,19,0.85,1.1,221,15.7,18.5,4.7
Australia,Oceania,English,,,Art,Flex,FALSE,9th-11th,Koopa Troopas,KTS,Omen,Viper,Brimstone,10,126,116,87,1.08,1.83,177,12.6,11.6,8.7
Australia,Oceania,English,,,Avi,Support,FALSE,12th-14th,Bandits ESC,BNDT,Breach,KAY/O,Brimstone,9,86,126,71,0.68,1.24,147,9.5,14,7.8
United States,Oceania,English,,,BAO,Support,FALSE,15th-16th,Corn Dawgs,CD,KAY/O,Gekko,,2,40,32,15,1.25,1.71,261,20,16,7.5
Australia,Oceania,English,,,BREW,Flex,FALSE,9th-11th,Tiny Turtle Squad,TTS,Killjoy,Chamber,Brimstone,11,126,160,47,0.78,1.08,168,11.4,14.5,4.2
New Zealand,Oceania,English,Maori,,BiggieCheese,Smoker,FALSE,2nd,ARENA Internet Cafe,AIC,KAY/O,Astra,Viper,19,253,283,147,0.89,1.41,189,13.3,14.8,7.7
Iran,Oceania,English,Persian,,Blessed,Support,FALSE,3rd,FOCUSGG,FOC,Viper,Gekko,KAY/O,19,255,286,156,0.89,1.43,184,13.4,15,8.2
Australia,Oceania,English,,,Bonobo,Flex,FALSE,3rd,FOCUSGG,FOC,Raze,Jett,Neon,19,288,294,58,0.97,1.17,199,15.1,15.4,3
Croatia,Oceania,English,Croatian,,Chax,Flex,FALSE,9th-11th,Koopa Troopas,KTS,Raze,Jett,Reyna,10,173,149,32,1.16,1.37,235,17.3,14.9,3.2
Australia,Oceania,English,,,Crunchy,Support,FALSE,5th-6th,BOBO,BOBO,KAY/O,Omen,Skye,15,237,209,141,1.13,1.8,213,15.8,13.9,9.4
International,Oceania,English,,,DOWNTAIL,Entry,FALSE,12th-14th,Xu Gang,XG,Raze,Jett,,7,113,110,21,1.02,1.21,231,16.1,15.7,3
Australia,Oceania,English,,,Dasani,Flex,FALSE,9th-11th,Koopa Troopas,KTS,Breach,Phoenix,Killjoy,10,151,140,51,1.07,1.44,211,15.1,14,5.1
Australia,Oceania,English,,,Don,Support,FALSE,15th-16th,Corn Dawgs,CD,Sova,Breach,,2,21,32,18,0.65,1.21,147,10.5,16,9
South Korea,Oceania,English,Korean,,Dynasty,Support,FALSE,12th-14th,Xu Gang,XG,Sova,Deadlock,Fade,7,65,113,35,0.57,0.88,147,9.2,16.1,5
Afghanistan,Oceania,English,Persian,Pashto,Esuh,Support,FALSE,9th-11th,Peace & Love,PL,Killjoy,Skye,Gekko,5,65,72,37,0.9,1.41,199,13,14.4,7.4
Australia,Oceania,English,,,Exirst,Flex,FALSE,5th-6th,BOBO,BOBO,Jett,Raze,Iso,15,234,225,61,1.04,1.31,221,15.6,15,4
New Zealand,Oceania,English,Maori,,FETA,Flex,FALSE,2nd,ARENA Internet Cafe,AIC,Jett,Raze,Neon,19,352,273,61,1.28,1.51,249,18.5,14.3,3.2
Vietnam,Oceania,English,Vietnamese,,IKANA,Flex,FALSE,1st,JFT Esports,JFT,Sova,Fade,Skye,24,367,296,170,1.23,1.81,214,15.2,12.3,7
Australia,Oceania,English,,,JAWSY,Flex,FALSE,7th-8th,Rub n' Pug,RNP,Omen,Astra,Viper,15,234,240,117,0.97,1.46,200,15.6,16,7.8
International,Oceania,English,,,JiYn,Anchor,FALSE,12th-14th,Wolf Pack,WP,Gekko,Deadlock,Killjoy,7,107,110,37,0.97,1.3,201,15.2,15.7,5.2
Australia,Oceania,English,,,Kiseki,Entry,FALSE,9th-11th,Peace & Love,PL,Neon,Reyna,,12,232,199,47,1.16,1.4,229,19.3,16.5,3.9
International,Oceania,English,,,Kyun,Support,FALSE,12th-14th,Wolf Pack,WP,Sova,Skye,Omen,7,70,111,44,0.63,1.02,149,10,15.8,6.2
United Kingdom,Oceania,English,,,LEW,Entry,FALSE,4th,JiJieHao BONK,JJH,Jett,Raze,,19,343,255,78,1.34,1.65,247,18,13.4,4.1
Australia,Oceania,English,,,Lazy,Flex,FALSE,9th-11th,Peace & Love,PL,Omen,Viper,Brimstone,11,151,209,102,0.72,1.21,185,13.7,19,9.2
Australia,Oceania,English,,,Loubert,Anchor,FALSE,7th-8th,EDGE,EDGE,Omen,Killjoy,Cypher,19,221,279,139,0.79,1.29,170,11.6,14.6,7.3
Australia,Oceania,English,,,M1kE,Anchor,FALSE,5th-6th,BOBO,BOBO,Killjoy,Cypher,Viper,15,221,210,79,1.05,1.42,203,14.7,14,5.2
Australia,Oceania,English,,,MILKY,Flex,FALSE,2nd,ARENA Internet Cafe,AIC,Breach,Omen,Sage,18,214,247,155,0.86,1.49,166,11.8,13.7,8.6
Turkey,Oceania,English,Turkish,,MURZA,Flex,FALSE,1st,JFT Esports,JFT,Jett,Raze,Reyna,22,364,304,80,1.19,1.46,233,16.5,13.8,3.6
New Zealand,Oceania,English,Maori,,MaiShiu,Support,FALSE,3rd,FOCUSGG,FOC,Fade,Sova,,19,266,273,126,0.97,1.43,196,14,14.3,6.6
Australia,Oceania,English,,,McKinley,Support,FALSE,2nd,ARENA Internet Cafe,AIC,Sova,Skye,,19,249,257,129,0.96,1.47,187,13.1,13.5,6.7
Australia,Oceania,English,,,Minimise,Flex,FALSE,4th,JiJieHao BONK,JJH,KAY/O,Gekko,Breach,19,243,274,158,0.88,1.46,173,12.7,14.4,8.3
Australia,Oceania,English,,,Myth,Smoker,FALSE,3rd,FOCUSGG,FOC,Omen,Brimstone,Sage,19,269,272,185,0.98,1.66,192,14.1,14.3,9.7
Australia,Oceania,English,,,NOVAE,Entry,FALSE,9th-11th,Tiny Turtle Squad,TTS,Jett,Raze,,11,218,157,43,1.38,1.66,272,19.8,14.2,3.9
New Zealand,Oceania,English,Maori,,Noir,Anchor,FALSE,9th-11th,Koopa Troopas,KTS,Cypher,Killjoy,Viper,10,119,149,65,0.79,1.23,159,11.9,14.9,6.5
Australia,Oceania,English,,,Nozz,Smoker,FALSE,5th-6th,BOBO,BOBO,Omen,Viper,Fade,15,213,209,117,1.01,1.57,193,14.2,13.9,7.8
Australia,Oceania,English,,,Prophet,Flex,FALSE,7th-8th,EDGE,EDGE,Jett,Raze,Reyna,13,217,201,45,1.07,1.3,233,16.6,15.4,3.4
Australia,Oceania,English,,,R3GEN,Support,FALSE,9th-11th,Tiny Turtle Squad,TTS,Sova,Gekko,Sage,11,123,165,65,0.74,1.13,165,11.1,15,5.9
Philippines,Oceania,English,Filipino,,RAMEN,Anchor,FALSE,1st,JFT Esports,JFT,Killjoy,Cypher,Gekko,24,337,292,112,1.15,1.53,193,14,12.1,4.6
New Zealand,Oceania,English,Maori,,RESLYDE,Entry,FALSE,9th-11th,Peace & Love,PL,Sova,Raze,Reyna,12,191,210,62,0.9,1.2,199,15.9,17.5,5.1
International,Oceania,English,,,Saitama,Smoker,FALSE,15th-16th,Corn Dawgs,CD,Omen,,,2,25,30,17,0.83,1.4,159,12.5,15,8.5
International,Oceania,English,,,Shinobu,Smoker,FALSE,12th-14th,Xu Gang,XG,Omen,Viper,,7,69,112,59,0.61,1.14,148,9.8,16,8.4
Australia,Oceania,English,,,Shinon,Smoker,FALSE,12th-14th,Bandits ESC,BNDT,Viper,Omen,,9,131,122,44,1.07,1.43,211,14.5,13.5,4.8
Australia,Oceania,English,,,Sinaway,Anchor,FALSE,2nd,ARENA Internet Cafe,AIC,Killjoy,Cypher,Viper,19,322,264,90,1.21,1.56,229,16.9,13.8,4.7
Pakistan,Oceania,English,Urdu,,Strame,Flex,FALSE,7th-8th,EDGE,EDGE,Cypher,Sova,Viper,6,84,81,23,1.03,1.32,180,14,13.5,3.8
Australia,Oceania,English,,,VINA,Smoker,FALSE,1st,JFT Esports,JFT,Viper,Omen,,10,125,133,57,0.93,1.36,192,12.5,13.3,5.7
Australia,Oceania,English,,,WATER,Flex,FALSE,9th-11th,Peace & Love,PL,Phoenix,Reyna,Jett,12,178,214,51,0.83,1.07,184,14.8,17.8,4.2
New Zealand,Oceania,English,Maori,,Wiqzu,Flex,FALSE,12th-14th,Bandits ESC,BNDT,Cypher,Killjoy,Deadlock,9,94,128,24,0.73,0.92,148,10.4,14.2,2.6
New Zealand,Oceania,English,Maori,,WisdomCats,Smoker,FALSE,9th-11th,Tiny Turtle Squad,TTS,Omen,Viper,,11,160,162,60,0.98,1.35,208,14.5,14.7,5.4
Australia,Oceania,English,,,Yuji,Anchor,FALSE,12th-14th,Xu Gang,XG,Killjoy,Cypher,,7,92,118,24,0.77,0.98,196,13.1,16.8,3.4
Australia,Oceania,English,,,Zauqk,Flex,FALSE,5th-6th,BOBO,BOBO,Sova,Breach,Fade,15,242,206,108,1.17,1.69,226,16.1,13.7,7.2
Australia,Oceania,English,,,Zuper,Anchor,FALSE,15th-16th,Corn Dawgs,CD,Cypher,Killjoy,,2,25,32,9,0.78,1.06,154,12.5,16,4.5
Australia,Oceania,English,,,abbas,Entry,FALSE,1st,JFT Esports,JFT,Raze,Reyna,,2,32,21,10,1.52,2,250,16,10.5,5
Australia,Oceania,English,,,addict,Smoker,FALSE,12th-14th,Wolf Pack,WP,Viper,,,3,52,50,7,1.04,1.18,221,17.3,16.6,2.3
Australia,Oceania,English,,,alu,Flex,FALSE,5th-6th,iPGN,iPGN,Fade,Sova,Gekko,20,216,287,135,0.75,1.22,158,10.8,14.3,6.7
Australia,Oceania,English,,,august,Anchor,FALSE,2nd,ARENA Internet Cafe,AIC,Killjoy,,,1,20,12,5,1.66,2.08,250,20,12,5
Australia,Oceania,English,,,azoh,Support,FALSE,7th-8th,EDGE,EDGE,Sova,Gekko,Deadlock,19,258,268,146,0.96,1.5,198,13.5,14.1,7.6
Russia,Oceania,English,Russian,,binjo,Flex,FALSE,9th-11th,Peace & Love,PL,Killjoy,Skye,,7,122,129,34,0.94,1.2,206,17.4,18.4,4.8
Australia,Oceania,English,,,brock,Flex,FALSE,9th-11th,Koopa Troopas,KTS,Sova,Fade,Skye,10,153,145,75,1.05,1.57,216,15.3,14.5,7.5
Australia,Oceania,English,,,doleful,Support,FALSE,12th-14th,Bandits ESC,BNDT,Gekko,Raze,Sova,9,121,139,45,0.87,1.19,204,13.4,15.4,5
Indonesia,Oceania,English,Indonesian,,dragoN,Smoker,FALSE,4th,JiJieHao BONK,JJH,Omen,Brimstone,Killjoy,19,328,261,121,1.25,1.72,225,17.2,13.7,6.3
Australia,Oceania,English,,,exempt,Flex,FALSE,7th-8th,Rub n' Pug,RNP,KAY/O,Gekko,Sova,15,191,221,160,0.86,1.58,178,12.7,14.7,10.6
International,Oceania,English,,,glaive,Entry,FALSE,15th-16th,Corn Dawgs,CD,Raze,Jett,,2,28,41,5,0.68,0.8,191,14,20.5,2.5
Australia,Oceania,English,,,gon,Flex,FALSE,9th-11th,Tiny Turtle Squad,TTS,Breach,Fade,KAY/O,11,126,169,84,0.74,1.24,160,11.4,15.3,7.6
Australia,Oceania,English,,,kadiri,Entry,FALSE,7th-8th,EDGE,EDGE,Cypher,Reyna,Phoenix,19,360,277,82,1.29,1.59,258,18.9,14.5,4.3
Australia,Oceania,English,,,kaza,Flex,FALSE,7th-8th,EDGE,EDGE,Sova,Skye,KAY/O,19,221,270,169,0.81,1.44,171,11.6,14.2,8.8
United Arab Emirates,Oceania,English,Arabic,,kiss,Smoker,FALSE,1st,JFT Esports,JFT,Omen,Jett,Viper,22,316,310,157,1.01,1.52,207,14.3,14,7.1
Australia,Oceania,English,,,lg1c,Entry,FALSE,5th-6th,iPGN,iPGN,Raze,Jett,,20,301,288,60,1.04,1.25,212,15,14.4,3
Australia,Oceania,English,,,maine,Smoker,FALSE,5th-6th,iPGN,iPGN,Omen,Viper,Yoru,20,263,298,142,0.88,1.35,192,13.1,14.9,7.1
Australia,Oceania,English,,,phequa,Flex,FALSE,7th-8th,Rub n' Pug,RNP,Jett,Neon,Iso,15,259,245,48,1.05,1.25,223,17.2,16.3,3.2
Australia,Oceania,English,,,phi,Flex,FALSE,5th-6th,iPGN,iPGN,Breach,Gekko,KAY/O,18,254,262,148,0.96,1.53,192,14.1,14.5,8.2
Australia,Oceania,English,,,rDeeW,Anchor,FALSE,4th,JiJieHao BONK,JJH,Cypher,Viper,Killjoy,19,289,276,96,1.04,1.39,208,15.2,14.5,5
Australia,Oceania,English,,,rossi,Entry,FALSE,12th-14th,Wolf Pack,WP,Raze,Jett,,7,87,121,24,0.71,0.91,183,12.4,17.2,3.4
Cambodia,Oceania,English,Khmer,,rurlz,Smoker,FALSE,9th-11th,Peace & Love,PL,Omen,,,1,8,14,8,0.57,1.14,146,8,14,8
International,Oceania,English,,,schizofrenic,Flex,FALSE,12th-14th,Bandits ESC,BNDT,Raze,Gekko,Killjoy,4,27,67,8,0.4,0.52,130,6.7,16.7,2
New Zealand,Oceania,English,Maori,,signed,Support,FALSE,4th,JiJieHao BONK,JJH,Sova,Viper,Gekko,19,281,244,115,1.15,1.62,195,14.7,12.8,6
Australia,Oceania,English,,,sommboiii,Smoker,FALSE,12th-14th,Wolf Pack,WP,Killjoy,Omen,Viper,7,90,106,24,0.84,1.07,171,12.8,15.1,3.4
Australia,Oceania,English,,,songry,Anchor,FALSE,5th-6th,iPGN,iPGN,Killjoy,Cypher,Brimstone,20,336,285,82,1.17,1.46,236,16.8,14.2,4.1
International,Oceania,English,,,spartabang,Support,FALSE,12th-14th,Xu Gang,XG,Breach,KAY/O,,7,88,111,59,0.79,1.32,182,12.5,15.8,8.4
Australia,Oceania,English,,,vizsla,Anchor,FALSE,3rd,FOCUSGG,FOC,Killjoy,Viper,Cypher,19,301,286,76,1.05,1.31,219,15.8,15,4
Australia,Oceania,English,,,zenox,Flex,FALSE,7th-8th,Rub n' Pug,RNP,Raze,Killjoy,Yoru,15,263,247,74,1.06,1.36,244,17.5,16.4,4.9
Philippines,Philippines,Filipino,English,,Aeonyx,Anchor,FALSE,5th-6th,OLD STINKY CAT,MEOW,Cypher,Killjoy,Brimstone,20,280,302,88,0.92,1.21,191,14,15.1,4.4
Philippines,Philippines,Filipino,English,,Astro,Flex,FALSE,5th-6th,Carti World,CW,Omen,Viper,Clove,23,356,343,224,1.03,1.69,199,15.4,14.9,9.7
Philippines,Philippines,Filipino,English,,Chanyboi,Flex,FALSE,5th-6th,Carti World,CW,KAY/O,Sova,Breach,23,320,354,242,0.9,1.58,186,13.9,15.3,10.5
Philippines,Philippines,Filipino,English,,Chaze,Flex,FALSE,9th,Tyrant Esports,TYR,Sova,Skye,Gekko,16,201,253,124,0.79,1.28,179,12.5,15.8,7.7
Philippines,Philippines,Filipino,English,,Chowdy,Smoker,FALSE,9th,Tyrant Esports,TYR,Viper,KAY/O,Omen,23,293,375,182,0.78,1.26,177,12.7,16.3,7.9
Philippines,Philippines,Filipino,English,,Denz,Anchor,FALSE,7th,Avernus Esports,AVN,Killjoy,Cypher,KAY/O,18,289,251,83,1.15,1.48,228,16,13.9,4.6
Philippines,Philippines,Filipino,English,,Dignified,Flex,FALSE,5th-6th,OLD STINKY CAT,MEOW,Skye,Gekko,Breach,17,270,230,135,1.17,1.76,201,15.8,13.5,7.9
Philippines,Philippines,Filipino,English,,DizzyFps,Support,FALSE,5th-6th,OLD STINKY CAT,MEOW,Jett,Gekko,Sova,18,252,276,91,0.91,1.24,193,14,15.3,5
Philippines,Philippines,Filipino,English,,DubsteP,Smoker,FALSE,3rd,Oasis Gaming,OAS,Omen,Brimstone,Sage,27,383,396,220,0.96,1.52,180,14.1,14.6,8.1
Philippines,Philippines,Filipino,English,,Emman,Flex,FALSE,1st,NAOS Esports,NAOS,Gekko,Skye,Fade,29,416,417,201,0.99,1.47,188,14.3,14.3,6.9
Philippines,Philippines,Filipino,English,,Erz4h,Entry,FALSE,8th,Rank El Cuties,QT,Omen,Neon,Jett,4,49,70,39,0.7,1.25,182,12.2,17.5,9.7
Philippines,Philippines,Filipino,English,,FallX,Entry,FALSE,5th-6th,OLD STINKY CAT,MEOW,Raze,Jett,Clove,19,321,305,66,1.05,1.26,234,16.8,16,3.4
Philippines,Philippines,Filipino,English,,Foods,Entry,FALSE,10th,Subversive,SVR,Raze,Jett,Yoru,17,212,283,52,0.74,0.93,192,12.4,16.6,3
Philippines,Philippines,Filipino,English,,GabbyDiz,Smoker,FALSE,8th,Rank El Cuties,QT,Omen,Viper,KAY/O,13,179,197,103,0.9,1.43,180,13.7,15.1,7.9
Philippines,Philippines,Filipino,English,,Grooovy,Support,FALSE,8th,Rank El Cuties,QT,Sova,Viper,Fade,13,191,194,92,0.98,1.45,209,14.6,14.9,7
Philippines,Philippines,Filipino,English,,Hirenkyaku,Flex,FALSE,10th,Subversive,SVR,Killjoy,Viper,Sova,17,181,278,51,0.65,0.83,161,10.6,16.3,3
Philippines,Philippines,Filipino,English,,HydraKid,Flex,FALSE,7th,Avernus Esports,AVN,Sova,Breach,Skye,13,172,195,109,0.88,1.44,199,13.2,15,8.3
Philippines,Philippines,Filipino,English,,Ichisolo,Anchor,FALSE,5th-6th,Carti World,CW,Killjoy,Cypher,Sova,23,341,341,125,1,1.36,199,14.8,14.8,5.4
Philippines,Philippines,Filipino,English,,JA,Anchor,FALSE,1st,NAOS Esports,NAOS,Cypher,Killjoy,Chamber,29,557,415,126,1.34,1.64,247,19.2,14.3,4.3
Philippines,Philippines,Filipino,English,,Jacobbb,Anchor,FALSE,8th,Rank El Cuties,QT,Killjoy,Cypher,Reyna,13,193,203,45,0.95,1.17,199,14.8,15.6,3.4
Philippines,Philippines,Filipino,English,,Kakarot,Flex,FALSE,2nd,ZOL Esports,ZOL,Raze,Jett,Neon,37,521,574,202,0.9,1.25,200,14,15.5,5.4
Philippines,Philippines,Filipino,English,,KellyS,Support,FALSE,3rd,Oasis Gaming,OAS,Raze,KAY/O,Breach,27,523,421,201,1.24,1.71,258,19.3,15.5,7.4
Philippines,Philippines,Filipino,English,,LoyDreaM,Entry,FALSE,4th,JustUs,JST,Jett,Raze,Cypher,25,423,379,143,1.11,1.49,233,16.9,15.1,5.7
Philippines,Philippines,Filipino,English,,Markyyy,Flex,FALSE,3rd,Oasis Gaming,OAS,Viper,Jett,Sova,27,481,376,185,1.27,1.77,228,17.8,13.9,6.8
Philippines,Philippines,Filipino,English,,Minori,Smoker,FALSE,10th,Subversive,SVR,Omen,Viper,Breach,8,93,124,27,0.75,0.96,171,11.6,15.5,3.3
Philippines,Philippines,Filipino,English,,Mojer,Flex,FALSE,1st,NAOS Esports,NAOS,Raze,Jett,Neon,29,519,448,144,1.15,1.47,252,17.8,15.4,4.9
Philippines,Philippines,Filipino,English,,N1ER,Flex,FALSE,9th,Tyrant Esports,TYR,Jett,Raze,Reyna,23,358,398,81,0.89,1.1,205,15.5,17.3,3.5
Philippines,Philippines,Filipino,English,,Nexi,Support,FALSE,1st,NAOS Esports,NAOS,KAY/O,Viper,Sova,29,422,410,226,1.02,1.58,196,14.5,14.1,7.7
Philippines,Philippines,Filipino,English,,Owen q t,Flex,FALSE,5th-6th,OLD STINKY CAT,MEOW,Omen,Viper,Brimstone,20,268,305,166,0.87,1.42,191,13.4,15.2,8.3
Philippines,Philippines,Filipino,English,,PapiChulo,Flex,FALSE,1st,NAOS Esports,NAOS,Omen,Viper,Brimstone,29,478,348,249,1.37,2.08,210,16.4,12,8.5
Philippines,Philippines,Filipino,English,,PatMen,Support,FALSE,2nd,ZOL Esports,ZOL,KAY/O,Skye,Viper,37,656,551,231,1.19,1.6,243,17.7,14.8,6.2
Philippines,Philippines,Filipino,English,,Repulsive,Smoker,FALSE,4th,JustUs,JST,Omen,Brimstone,,19,241,263,212,0.91,1.72,183,12.6,13.8,11.1
Philippines,Philippines,Filipino,English,,SLY,Smoker,FALSE,7th,Avernus Esports,AVN,Viper,Harbor,Killjoy,10,86,162,40,0.53,0.77,119,8.6,16.2,4
Philippines,Philippines,Filipino,English,,Sanji,Smoker,FALSE,10th,Subversive,SVR,Omen,Brimstone,Sova,11,95,183,70,0.51,0.9,140,8.6,16.6,6.3
Philippines,Philippines,Filipino,English,,SecondLove,Anchor,FALSE,4th,JustUs,JST,Cypher,Killjoy,Fade,25,354,353,144,1,1.41,194,14.1,14.1,5.7
Philippines,Philippines,Filipino,English,,Sovano,Entry,FALSE,8th,Rank El Cuties,QT,Raze,Jett,Omen,12,213,197,42,1.08,1.29,240,17.7,16.4,3.5
Philippines,Philippines,Filipino,English,,Stazy,Flex,FALSE,4th,JustUs,JST,KAY/O,Skye,Gekko,8,87,119,49,0.73,1.14,167,10.8,14.8,6.1
Philippines,Philippines,Filipino,English,,SyKo,Flex,FALSE,4th,JustUs,JST,Skye,Sova,Gekko,23,305,359,152,0.84,1.27,183,13.2,15.6,6.6
Philippines,Philippines,Filipino,English,,Xty,Support,FALSE,7th,Avernus Esports,AVN,Gekko,Breach,Killjoy,20,250,294,127,0.85,1.28,178,12.5,14.7,6.3
Philippines,Philippines,Filipino,English,,Yort,Support,FALSE,8th,Rank El Cuties,QT,KAY/O,Skye,Viper,10,129,140,76,0.92,1.46,182,12.9,14,7.6
Philippines,Philippines,Filipino,English,,YoungPork,Flex,FALSE,10th,Subversive,SVR,Gekko,Fade,KAY/O,17,243,263,68,0.92,1.18,210,14.2,15.4,4
Philippines,Philippines,Filipino,English,,Yukxx,Smoker,FALSE,9th,Tyrant Esports,TYR,Omen,Clove,Gekko,17,263,293,94,0.89,1.21,207,15.4,17.2,5.5
